provider,model,problem_identifier,presentation,historical_audit_payload_sha256,historical_logical_request_sha256,historical_cell_sha256,release_derived_transmitted_body_sha256,custom_id
openai,gpt-5.6-sol,block_split_003,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,2f7c66bd5472036f6a43499a3e719c5d80116050434fe876a3d33644094d304c,12727502e757718adfa6efb2edcb992d9cf813570fa6dfd628c6bedff1407d6c,15e6b66971f0b643544c21252e225d5ba26968c7f9cb4c9af32eb90a43af3b9e,fsb_12727502e757718adfa6efb2edcb992d9cf81357
openai,gpt-5.6-sol,block_split_006,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,3e1b586255b97217b834f5558dc61408a1f305dbb244e242763c1affd74b04ae,8415de05b270f27250b80708bd7b3bc96114b8c434aeb838f9cd5c1a67442a79,113b25c85a16f157ffb59bfa583261ebc94a0d49adb2f4c402970683a3660fd9,fsb_8415de05b270f27250b80708bd7b3bc96114b8c4
openai,gpt-5.6-sol,block_split_007,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,83a0fba4fe8a01a6dc2fbb43d977f15ef5aed6eee39f646b6d698b366a4ddd5b,6c45585a17b4486a5dd6b294e5f55aa7feef91f954d73970d7b537fc325d203d,b70748afed13a11a25309b865df912b4c476db362d5aeb46e6a487a10bafa5f8,fsb_6c45585a17b4486a5dd6b294e5f55aa7feef91f9
openai,gpt-5.6-sol,block_split_008,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,12de2ef40c9fd93807e96de226594ffb50704f68ac136fe90dbdac69e3d7f692,5e4aa5234f5ecef7f97cd25c1777620457bcd0656e263c44a45ac4275b9cc081,c0c66c0c85e3decd9b4f4c617604d807d0268a617c16cd2132286af98d9f82e5,fsb_5e4aa5234f5ecef7f97cd25c1777620457bcd065
openai,gpt-5.6-sol,block_split_009,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,9d9ac928dbf9aea39a7e95679f766268e3c35ad2d6914627e1662affa6a8caa9,2d873696acdaca2b0c773b222b847d0bb6e5a8f211932eb7809e9e3a859129f7,6c769efc5f1332dd6b0a18f695ec414f4c2ce4f7c4f28da0bcab9d6a3f7eeb50,fsb_2d873696acdaca2b0c773b222b847d0bb6e5a8f2
openai,gpt-5.6-sol,block_split_010,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,d9f092ce02d68293c123d8a0dd71abc2fb2e428c70583cc83db0bcb202539479,aa53dd597169e0f704109173abf8789436e51d9a0bd62c220bd20be4ce5c6753,1f9ee6173e16adbe8a7025c591886a087d4c46e6285acecaa6f89ec8067f2c68,fsb_aa53dd597169e0f704109173abf8789436e51d9a
openai,gpt-5.6-sol,block_split_011,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,8f8b5dc6f17006163f131abd1ebca54d054db632b9cde10746a6c6a66b4e64e1,6ead5b936e295bce7bae1404735ecbf3ee2a791a8257c77f997140ec3ffef608,afb17cfe9068d8667037d75ee03e14839950c421775685bc5c68540928343098,fsb_6ead5b936e295bce7bae1404735ecbf3ee2a791a
openai,gpt-5.6-sol,block_split_012,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,a13bdf284bd8627d501dcf647103cc8ecf68c158383527369877edb8f97bbe71,634ac239d7a309d90412a1e59e0c3da32ec2019307c7019165322f2ef3f2181d,0b7ffe5969fc48351a689cb365f5cbb122ee5fe7ff286ebb9dd03b2e48bd8fa5,fsb_634ac239d7a309d90412a1e59e0c3da32ec20193
openai,gpt-5.6-sol,block_split_015,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,c16f7c688e269168385ca64fe7594a251ef6c0ba386df105dd33373004e991e3,e982007f2a54a677609d3ed31461992094f273c323abe6fc9128221a5ab6f19a,310e97d0cc5fff2af2ae3342afeee9a60fb873f3859683a54bfe59fd63d1a5cf,fsb_e982007f2a54a677609d3ed31461992094f273c3
openai,gpt-5.6-sol,block_split_016,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,9d520627db75c9230e2968e4234b362ffd94ece91042905c8d267a269dba3406,bdadf4e395ef610ad57961941f9a5cfa651d26afb2f46ef454d0a604553cc56a,79c62596b8d6ff8797396c6a778509a31cae34784b171fc70c0622fe871024dd,fsb_bdadf4e395ef610ad57961941f9a5cfa651d26af
openai,gpt-5.6-sol,block_split_017,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,23d018c584295e901a4364492c9e11cef16bc6238790444949f3003c7570a209,d05d5ec92df9bc5bf6a44e0ee75cf026fbb3744be1ded1a62deec3835f2fbffe,bca3070f2070f7505fcfaaecd0253a64a29089293e1cad08d1b3d7156b1f4183,fsb_d05d5ec92df9bc5bf6a44e0ee75cf026fbb3744b
openai,gpt-5.6-sol,block_split_018,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,2d1a4bbb412b71e3bd3a722fe7100af1766d97b2a971087929ab035edf01a142,bdc2dea66174c304d48a0208c4d15720b39e86ba759ac0f6fc550213291925c4,fd6046eb872c185172a5d41f96e458888bd108e8bd0f17f7898525980be36ebd,fsb_bdc2dea66174c304d48a0208c4d15720b39e86ba
openai,gpt-5.6-sol,block_split_019,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,1678e26cbe5d1b4a7de7176eb1da9051e7006ed6e11a1ca34c24e3c40bf46708,650d92564de3b6b7be860c157cf6b9ac9629edcc49bdb163a9dd39fec002eeaa,d53153696f2b2b59a96db158f485a4b434186b278949f2c7e70bdec4404c3e8f,fsb_650d92564de3b6b7be860c157cf6b9ac9629edcc
openai,gpt-5.6-sol,block_split_020,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,13d44e7837946f5ac7a008793140e3bbe83c7f242d79e3c3da4ccd5bd94009bf,5cfe86e40cbc496dcca956dcd729a2a36f7f2e3c299d5e4aefdce18c6eeaad1a,dbdd32d12678e866d06f36a9ba2a8e81860b38eacc7043c79ce0d8ecff59d1f7,fsb_5cfe86e40cbc496dcca956dcd729a2a36f7f2e3c
openai,gpt-5.6-sol,block_split_021,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,6a121f7fc6ec44122e7864dfbd82163a1bb5ab3ee953d4c2e08417cf7350f130,0962335bd93c8ab16a9b8ce708f0dce20c1eb09200b777d11d9374f2d7054c6d,fd81fd1cb89f5fc1dd5d7fc02c22f6ce3a86a11433a4a5ffd9816abda7d9cb58,fsb_0962335bd93c8ab16a9b8ce708f0dce20c1eb092
openai,gpt-5.6-sol,block_split_022,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,8191f1a736cb112335f52473032d5419172d2b752a2063a736e5718f8405a6de,fc369d8e2f77a2f4c36303053db13486f448ca12c808e708b34611f7f03bb427,6f4a0447e772324e364a46b1c8056f2e61ac5dcc6df99c8650096c68a2b75911,fsb_fc369d8e2f77a2f4c36303053db13486f448ca12
openai,gpt-5.6-sol,block_split_023,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,5caca6bacc6ea4a8378d4f4aac896f04348bdb2db56198e35328a7584a30574c,d867f758293dacdc8ee95402672668c7890ca3fb361d9735497dba39f8caf8c1,abff8f47397d5cb3de9c1ba85a399e2a74b066363a9e5a0ef73914569be73d64,fsb_d867f758293dacdc8ee95402672668c7890ca3fb
openai,gpt-5.6-sol,block_split_024,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,7e2404a13f68fd1c3f409e93fa2ed847f8e9a9d8fe8667e057d33b7312ae4c66,274529dde797ef345825669c97830b8effb0fd5b9f930b0949b6c2b31dd2b923,f3ac86b740a8bb48c4f77db728f8106bc86d7e8b93ea2db8f9dd081758917bb1,fsb_274529dde797ef345825669c97830b8effb0fd5b
openai,gpt-5.6-sol,block_split_026,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,086f62bbaf6f1e85fe044fc046a52542dad94333b333d31452f2fb05303a0062,5a0ff8978a12dd1c5d39c0cb85bb7b19faf3ccddbd04013f0b6be48634a19e32,a170d76a476cb0976d39b3344567d203f6c618f1f01cef879fb7b8caa74a4977,fsb_5a0ff8978a12dd1c5d39c0cb85bb7b19faf3ccdd
openai,gpt-5.6-sol,block_split_027,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,24ab8c516fc8c8b0b0b9beb657ec57978f77460a30f756ede1ccbae73f8312cf,cd540c1636540f6b73cb0372cc7b58da856ea8ae3382d23f0d9ae7cdc67bdb83,525261c934d9c625948a6ba8e39eadb948a88570ba6affeeff00c71d0fa5cd06,fsb_cd540c1636540f6b73cb0372cc7b58da856ea8ae
openai,gpt-5.6-sol,block_split_028,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,b9f4c5aedd14fe3841a1e46767c46a828160f9a6e1ee5747cce2e9a494bbf564,5f31bf1c52544baa50a65911296b98c71e0b6e9255d5458158791d12d0d127d0,fe05f2063e7418622b25aa1cea147f3fc512aa82e8f9446589cf98e5ad119070,fsb_5f31bf1c52544baa50a65911296b98c71e0b6e92
openai,gpt-5.6-sol,block_split_029,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,c1975f33cb018101f9adbc4ad1735a5ff5b6d7a7539dbbe0c13005a5449cc67a,d9a3e54ff6e97750c666f54383a4a7ac96e3c8e416b1f2429d1cb94c8bb32f1c,8b71c22fa2dd70f1c5a4d7f7421a9ae3364e32f629d207980b05dc045d7c8f5e,fsb_d9a3e54ff6e97750c666f54383a4a7ac96e3c8e4
openai,gpt-5.6-sol,block_split_030,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,f8002a660a782cb7207b5dca1a81250ea54417c960356f2f29416b2b8e0d55d2,7f607d9977cc3a17bbe9bfc4393b4d5f65c2450a00491c033c94aad0bead17dd,b7fdaadae4798b251acadd86c46501bcfd7087e58222d9a6520716c28a212ccb,fsb_7f607d9977cc3a17bbe9bfc4393b4d5f65c2450a
openai,gpt-5.6-sol,block_split_031,single_image,db58d89430b30c272c9a750d861f2a1b505b20813f58f089354799915a6b5c23,892146a3ace7bdacd16edd832e3d8cc345bc47c837d6d53e307219ebca6fc96d,7e19ca759ab5be5dcabe9f49994c9141e0c515eeb92e9522d1b4e8e8b01606d5,b012149c0e48eca1b19e61e5fbe8f9a759ae35ad6356c15c276b43e99ad67190,fsb_7e19ca759ab5be5dcabe9f49994c9141e0c515ee
